"id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","host_listing_count","availability_365"
2117802,8560294,"Debora","Manhattan","Harlem",40.80555202796342,-73.94954742291159,"Entire home/apt",160,1,1,"2014-01-21",0.1,1,356
416557,2714164,"Jasmine","Brooklyn","Greenpoint",40.722120819548486,-73.94388506765472,"Entire home/apt",85,4,9,"2014-11-04",0.3,1,361
3380115,17052412,"Kristin","Manhattan","West Village",40.7358614374179,-73.99910197279235,"Entire home/apt",185,1,1,"2014-08-15",0.2,1,169
4698000,10962595,"Emil","Manhattan","Midtown",40.76233896032055,-73.9784820474473,"Entire home/apt",120,1,5,"2014-12-23",5,2,354
4093310,18609006,"Jovan","Brooklyn","East New York",40.66747822275529,-73.88346384552646,"Entire home/apt",70,2,8,"2014-11-03",2.5,4,357
4383545,22758449,"Erin & Matt","Manhattan","West Village",40.73787161126539,-74.00853635159535,"Entire home/apt",180,2,0,"",,1,50
2210219,11273858,"Fabio","Manhattan","Upper East Side",40.7657902336006,-73.95732148705717,"Entire home/apt",110,1,22,"2014-12-19",2.4,1,365
4823722,17982084,"Veronica","Brooklyn","Crown Heights",40.67536740359592,-73.96253348960504,"Entire home/apt",175,4,1,"2014-12-28",1,1,10
2809567,2347138,"Theona","Brooklyn","Bedford-Stuyvesant",40.68874174603951,-73.95671971671347,"Private room",65,2,5,"2014-08-01",0.6,1,339
896937,4784750,"Talia","Manhattan","Hamilton Heights",40.82518173694093,-73.95339622391171,"Entire home/apt",100,2,1,"2013-04-14",0.0,1,341
4574996,23713669,"Martin","Brooklyn","Crown Heights",40.67483623719164,-73.95784997370713,"Private room",77,1,0,"",,1,337
600286,1036617,"George","Brooklyn","Williamsburg",40.70397209011913,-73.95536357695565,"Entire home/apt",225,2,14,"2014-12-07",0.7,1,355
4739290,15863391,"Cyril","Manhattan","Morningside Heights",40.80456482916854,-73.96348209339334,"Private room",89,1,1,"2014-12-29",1,2,365
1363745,7400464,"Tor","Manhattan","West Village",40.737776865711496,-73.99678477331945,"Entire home/apt",220,2,6,"2014-09-24",0.5,1,362
1741622,652092,"Art","Manhattan","Upper East Side",40.763577425668885,-73.95894997771641,"Entire home/apt",110,3,8,"2014-12-01",0.6,2,4
3026407,1763048,"Farah","Brooklyn","Gowanus",40.66723369573594,-73.99162421889032,"Entire home/apt",129,1,3,"2014-07-05",0.4,2,317
385853,2758,"Stephanie","Manhattan","Harlem",40.79947608641822,-73.95653000682057,"Private room",69,2,27,"2014-12-05",0.8,4,297
2904330,4123046,"Julie","Brooklyn","Prospect Heights",40.681832940562096,-73.97194931073095,"Entire home/apt",450,1,0,"",,1,223
2192845,4702278,"Natalia","Manhattan","West Village",40.73414007730088,-74.00328547384512,"Entire home/apt",315,1,4,"2014-10-19",0.5,1,365
970538,2258438,"Libby","Brooklyn","Fort Greene",40.691424404363794,-73.96940678417386,"Entire home/apt",100,1,3,"2014-11-27",0.3,1,322
4632542,6762751,"Alexander","Manhattan","Harlem",40.80095535779431,-73.9577596798412,"Private room",98,1,1,"2014-12-03",0.9,1,365
454915,2260312,"Da","Brooklyn","Crown Heights",40.67549975712366,-73.95932311160689,"Entire home/apt",150,2,7,"2013-05-21",0.2,1,352
4692439,23157944,"Daron","Brooklyn","Crown Heights",40.66619126203683,-73.94024065962921,"Private room",70,1,1,"2014-12-19",1,1,364
503791,2484757,"Yasin","Brooklyn","Bedford-Stuyvesant",40.694164792159114,-73.94975494044488,"Private room",80,1,48,"2014-12-20",1.6,1,365
1472013,7881130,"Sherwyn","Brooklyn","Crown Heights",40.67106656725875,-73.9556907911719,"Private room",110,2,4,"2014-11-15",0.3,1,365
3452914,17401763,"Karen","Brooklyn","Greenpoint",40.73524871056462,-73.95709168728592,"Private room",75,1,1,"2014-07-07",0.2,1,162
4639070,24018865,"Tiffany","Manhattan","East Harlem",40.80326031529441,-73.9345704625095,"Entire home/apt",125,2,0,"",,1,18
292368,1513759,"Kristy","Manhattan","West Village",40.732444994924705,-74.00229410162059,"Entire home/apt",219,4,19,"2014-08-30",0.5,1,1
176129,842082,"Linda","The Bronx","Fordham",40.862710153007356,-73.88544820590238,"Private room",68,1,31,"2014-12-09",2.8,1,356
2740077,14021261,"Michelle","Manhattan","Hell's Kitchen",40.76564951382514,-73.98417325612927,"Entire home/apt",200,1,7,"2014-12-19",2.5,1,358
505915,2493164,"James","Manhattan","Financial District",40.705357697812886,-74.00864224749407,"Entire home/apt",195,1,40,"2014-11-23",2.6,5,313
2707824,8373183,"Arash","Manhattan","Nolita",40.72172741029673,-73.99383298457104,"Entire home/apt",225,2,0,"",,1,256
3740615,10555852,"Aymeric","Manhattan","Hell's Kitchen",40.758425673893214,-73.99353524157297,"Private room",120,1,0,"",,1,72
53137,240360,"Marlaine","Manhattan","Hell's Kitchen",40.76243525474735,-73.99271079342442,"Entire home/apt",195,5,1,"2010-11-06",0.0,1,364
14074,55298,"Aaron","Manhattan","Chelsea",40.73949112612438,-73.99607432986085,"Entire home/apt",160,7,89,"2014-03-01",1.4,4,360
3993392,11790239,"Mina","Manhattan","Harlem",40.81452504623882,-73.94806606228065,"Entire home/apt",220,3,6,"2014-11-02",2.3,3,361
4706198,1642775,"Melissa","Brooklyn","Bushwick",40.70608603629493,-73.92018356974837,"Private room",75,2,0,"",,1,8
1003930,5520926,"Graham","Manhattan","East Village",40.727632897488505,-73.98477170993284,"Entire home/apt",202,1,2,"2014-12-14",2,1,128
4734827,4483646,"Rebecca","Manhattan","Financial District",40.70698848858703,-74.01115024601307,"Entire home/apt",150,1,0,"",,4,28
4173930,6706056,"Mallika","Manhattan","Kips Bay",40.74342034619471,-73.97945891804534,"Entire home/apt",150,1,0,"",,1,339
3993388,20700765,"Audrey","Manhattan","Hell's Kitchen",40.757580352251196,-73.99326886228273,"Private room",130,1,16,"2014-12-13",4.1,1,361
53212,194739,"Robert","Manhattan","Harlem",40.82354273876871,-73.93964633400199,"Private room",65,2,140,"2014-12-28",3.2,1,337
4776876,12321978,"James","Brooklyn","Bushwick",40.694664336460335,-73.92763744998686,"Shared room",35,2,0,"",,1,100
2838999,134945,"Brenda","Manhattan","Hell's Kitchen",40.76702303290194,-73.99058865120405,"Private room",138,2,16,"2014-12-08",2.3,1,356
4645824,1660261,"Andres Mekos","Brooklyn","Lefferts Garden",40.6569586328594,-73.96310540802644,"Private room",60,3,0,"",,3,365
4842434,24920992,"Takuya","Manhattan","East Harlem",40.79389051597763,-73.94128244309077,"Private room",35,1,0,"",,1,43
2118145,574735,"Michael","Manhattan","West Village",40.72977403145978,-74.0102452755995,"Entire home/apt",270,2,1,"2014-04-29",0.1,1,365
3372757,2049318,"Antonin","Manhattan","Gramercy Park",40.736215367435534,-73.98115116575391,"Private room",95,1,3,"2014-12-15",0.5,1,215
1054201,4165498,"L.A.","Manhattan","East Harlem",40.79534605687153,-73.9327383026044,"Entire home/apt",120,7,22,"2014-12-06",1.1,2,351
1303515,430826,"Dee","Manhattan","West Village",40.73383804430274,-74.00462448350628,"Entire home/apt",200,3,33,"2014-10-11",1.9,1,334
1893345,709984,"Mike","Manhattan","Soho",40.727782637467634,-74.00334433122369,"Entire home/apt",161,3,13,"2014-12-29",1.1,1,296
4165038,18602194,"Carolina","Manhattan","East Village",40.72938712393883,-73.98367907309171,"Entire home/apt",220,1,4,"2014-10-26",1.3,1,315
4182245,14337935,"Mathilde Isabelle","Brooklyn","Bedford-Stuyvesant",40.69905876513953,-73.94718830293672,"Shared room",35,14,0,"",,7,352
4645865,12923570,"David","Manhattan","West Village",40.73904660453127,-74.00228038620476,"Private room",99,1,1,"2014-12-11",1,1,352
1371957,7437876,"Shamara","Manhattan","Washington Heights",40.832999317449435,-73.93805635800595,"Entire home/apt",99,3,4,"2014-08-26",0.3,1,365
3862328,19933265,"Anneris","Manhattan","East Harlem",40.78905862973792,-73.94967160611533,"Entire home/apt",150,1,1,"2014-12-08",1,2,365
2994395,15265394,"David & Tim","Manhattan","Midtown East",40.75668550612896,-73.9677547092758,"Entire home/apt",250,2,13,"2014-12-15",4.1,1,216
45288,50478,"Lou","Brooklyn","Greenpoint",40.73200665425722,-73.95616308880587,"Private room",50,15,50,"2014-09-19",1.0,1,337
3746534,19110748,"Peter","Manhattan","Tribeca",40.71692226359319,-74.00324183396205,"Private room",120,1,3,"2014-11-17",1.2,1,353
1254958,6408657,"Davis","Manhattan","West Village",40.729803256562484,-74.00347752214742,"Private room",110,1,31,"2014-12-15",1.7,2,26
3843583,4623146,"Meg","Manhattan","East Harlem",40.801874402846565,-73.94228404260662,"Private room",120,2,2,"2014-11-02",0.6,1,344
2651940,13574875,"Jessica","Manhattan","East Harlem",40.786126028848145,-73.9482707291938,"Entire home/apt",130,1,13,"2014-12-21",1.6,1,231
4575345,23716502,"Daniel","Manhattan","Morningside Heights",40.80549221465984,-73.96594126422438,"Entire home/apt",100,1,4,"2014-12-23",4,1,362
1028366,5659384,"Mila","Brooklyn","Bushwick",40.69217144757998,-73.9233443262286,"Private room",97,1,0,"",,1,365
4448149,23084366,"Franklin","Manhattan","Washington Heights",40.8508504715152,-73.9359799216798,"Private room",79,3,0,"",,1,365
4924957,23950933,"Earl","Brooklyn","Bedford-Stuyvesant",40.68162686440985,-73.92251516733344,"Entire home/apt",290,1,0,"",,2,365
4305200,8814258,"Nikole","Queens","Jamaica",40.676689420156535,-73.79494289966333,"Private room",72,1,7,"2014-12-24",2.7,3,360
2183826,11137123,"Kimberly","Manhattan","East Harlem",40.80046514565546,-73.93062123699724,"Entire home/apt",300,3,13,"2014-10-27",1.5,4,364
4814680,24796143,"David","Manhattan","Nolita",40.722795675485834,-73.99614518260188,"Private room",150,3,0,"",,1,365
882559,4670155,"Yuval","Manhattan","Hell's Kitchen",40.76112506933269,-73.98917500393627,"Private room",140,3,54,"2014-12-23",2.5,1,320
